Time (sec),RPM,Air Temp (C),Coolant Temp (C),TPS (%),MAP (kPa),Battery Volt (V),Fuel Open Time (ms),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),Ignition Angle (DBTDC),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8,OIL PRES,OIL TEMP (C),Digital Output #1,Digital Output #2,Digital Output #3,Digital Output #4,Digital Output #5,Digital Output #6,Digital Output #7,Digital Output #8,Digital Output #9,Digital Output #10,System Temperature (C),Measured Lambda #1,
0.501,2882,40.0,57.0,16.9,98.25,13.30,4.82,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,39.87,46.1,1,0,1,0,0,0,0,0,0,0,29,0.75,
0.550,3087,40.0,57.0,18.7,99.22,13.30,4.84,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,42.21,47.0,1,0,1,0,0,0,0,0,0,0,29,0.77,
0.600,3263,39.9,57.0,19.1,99.35,13.30,4.85,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,42.91,47.0,1,0,1,0,0,0,0,0,0,0,29,0.77,
0.650,3308,39.9,57.0,18.6,99.22,13.30,4.85,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,47.21,47.0,1,0,1,0,0,0,0,0,0,0,29,0.78,
0.700,3334,39.9,57.0,13.8,97.84,13.30,4.84,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,48.66,47.0,1,0,1,0,0,0,0,0,0,0,29,0.78,
0.750,3446,40.0,57.0,10.7,95.01,13.30,4.78,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,49.92,47.0,1,0,1,0,0,0,0,0,0,0,29,0.77,
0.800,3506,39.1,57.0,10.5,93.35,13.30,4.75,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,51.34,46.9,1,0,1,0,0,0,0,0,0,0,29,0.75,
0.850,3529,39.0,57.0,10.5,92.25,13.40,4.76,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,51.24,47.0,1,0,1,0,0,0,0,0,0,0,29,0.75,
0.900,3586,39.0,57.0,10.5,91.70,13.40,4.76,110.1,100.0,110.0,20.3,0,0,0,0,0,0,0,0,52.46,47.0,1,0,1,0,0,0,0,0,0,0,29,0.72,
0.950,4143,39.0,57.0,10.2,89.63,13.40,4.70,110.1,100.0,110.0,21.5,0,0,0,0,0,0,0,0,61.72,47.0,1,0,1,0,0,0,0,0,0,0,29,0.72,
1.000,4535,39.0,57.0,9.4,86.74,13.40,4.73,110.1,100.0,110.0,21.9,0,0,0,0,0,0,0,0,70.58,47.0,1,0,1,0,0,0,0,0,0,0,29,0.72,
1.050,4692,39.0,57.0,9.4,85.70,13.40,4.66,110.1,100.0,110.0,22.3,0,0,0,0,0,0,0,0,74.96,46.9,1,0,1,0,0,0,0,0,0,0,29,0.73,
1.100,4755,39.0,57.0,9.4,85.29,13.40,4.60,110.1,100.0,110.0,22.5,0,0,0,0,0,0,0,0,75.28,46.9,1,0,1,0,0,0,0,0,0,0,29,0.73,
1.150,4659,39.0,57.0,9.4,85.08,13.40,4.54,110.1,100.0,110.0,22.4,0,0,0,0,0,0,0,0,73.91,47.0,1,0,1,0,0,0,0,0,0,0,29,0.76,
1.200,4707,39.0,57.0,9.7,84.94,13.40,4.61,110.1,100.0,110.0,22.4,0,0,0,0,0,0,0,0,73.91,47.0,1,0,1,0,0,0,0,0,0,0,29,0.74,
1.250,4715,39.0,57.0,9.6,85.08,13.40,4.54,110.1,100.0,110.0,22.5,0,0,0,0,0,0,0,0,73.84,47.0,1,0,1,0,0,0,0,0,0,0,29,0.74,
1.300,4780,39.0,57.0,6.7,83.43,13.40,4.50,110.1,100.0,110.0,22.7,0,0,0,0,0,0,0,0,74.79,47.0,1,0,1,0,0,0,0,0,0,0,29,0.73,
1.350,4700,39.0,57.0,4.2,79.29,13.40,4.27,110.1,100.0,110.0,22.8,0,0,0,0,0,0,0,0,75.36,47.0,1,0,1,0,0,0,0,0,0,0,29,0.73,
1.400,4474,39.0,57.0,4.0,77.50,13.40,4.11,110.1,100.0,110.0,22.2,0,0,0,0,0,0,0,0,71.13,46.9,1,0,1,0,0,0,0,0,0,0,29,0.74,
1.450,4133,39.0,57.0,4.0,75.57,13.40,4.16,110.1,100.0,110.0,21.5,0,0,0,0,0,0,0,0,65.78,47.0,1,0,1,0,0,0,0,0,0,0,29,0.77,
1.500,3902,39.0,57.0,4.2,75.50,13.40,4.23,110.1,100.0,110.0,20.9,0,0,0,0,0,0,0,0,60.20,47.0,1,0,1,0,0,0,0,0,0,0,29,0.77,
1.550,3881,39.0,57.0,4.6,75.91,13.40,4.26,110.1,100.0,110.0,20.9,0,0,0,0,0,0,0,0,59.66,47.0,1,0,1,0,0,0,0,0,0,0,29,0.81,
1.600,3750,39.0,57.0,5.5,76.67,13.50,4.32,110.1,100.0,110.0,20.6,0,0,0,0,0,0,0,0,56.32,47.0,1,0,1,0,0,0,0,0,0,0,29,0.81,
1.650,3750,39.0,57.0,6.3,78.53,13.50,4.37,110.1,100.0,110.0,20.6,0,0,0,0,0,0,0,0,55.00,47.0,1,0,1,0,0,0,0,0,0,0,29,0.80,
1.700,3595,39.0,57.0,7.5,81.15,13.50,4.49,110.1,100.0,110.0,20.3,0,0,0,0,0,0,0,0,53.28,47.0,1,0,1,0,0,0,0,0,0,0,30,0.78,
1.750,3655,39.0,57.0,9.0,84.60,13.50,4.68,110.1,100.0,110.0,20.4,0,0,0,0,0,0,0,0,54.16,47.0,1,0,1,0,0,0,0,0,0,0,29,0.78,
1.800,3921,39.0,57.0,10.6,86.39,13.50,4.68,110.1,100.0,110.0,21.0,0,0,0,0,0,0,0,0,58.16,47.0,1,0,1,0,0,0,0,0,0,0,30,0.78,
1.850,4271,39.0,57.0,11.9,87.70,13.50,4.64,110.1,100.0,110.0,21.6,0,0,0,0,0,0,0,0,64.06,47.0,1,0,1,0,0,0,0,0,0,0,29,0.77,
1.900,4659,39.0,57.0,12.8,88.80,13.50,4.73,110.1,100.0,110.0,22.2,0,0,0,0,0,0,0,0,70.58,47.0,1,0,1,0,0,0,0,0,0,0,30,0.73,
1.950,4991,39.0,57.0,13.0,88.87,13.50,4.80,110.1,100.0,110.0,22.9,0,0,0,0,0,0,0,0,78.49,47.0,1,0,1,0,0,0,0,0,0,0,29,0.73,
2.000,5276,39.0,57.0,13.1,87.56,13.50,4.83,110.1,100.0,110.0,23.9,0,0,0,0,0,0,0,0,81.19,47.0,1,0,1,0,0,0,0,0,0,0,30,0.73,
2.050,5813,39.0,57.0,13.1,83.70,13.50,4.88,110.1,100.0,110.0,24.9,0,0,0,0,0,0,0,0,88.45,47.0,1,0,1,0,0,0,0,0,0,0,30,0.75,
2.100,5982,39.0,57.0,12.5,80.39,13.50,4.51,110.1,100.0,110.0,25.3,0,0,0,0,0,0,0,0,88.98,47.0,1,0,1,0,0,0,0,0,0,0,29,0.72,
2.150,6432,39.0,57.0,11.1,75.91,13.50,4.05,110.1,100.0,110.0,26.7,0,0,0,0,0,0,0,0,91.64,47.0,1,0,1,0,0,0,0,0,0,0,29,0.71,
2.200,6463,39.0,57.0,9.5,71.43,13.50,3.97,110.1,100.0,110.0,26.5,0,0,0,0,0,0,0,0,90.89,47.0,1,0,1,0,0,0,0,0,0,0,30,0.72,
2.250,6048,39.0,57.0,8.5,69.71,13.50,4.03,110.1,100.0,110.0,25.3,0,0,0,0,0,0,0,0,89.40,47.0,1,0,1,0,0,0,0,0,0,0,29,0.72,
2.300,5505,39.0,57.0,8.3,70.33,13.50,3.87,110.1,100.0,110.0,24.5,0,0,0,0,0,0,0,0,84.67,47.0,1,0,1,0,0,0,0,0,0,0,30,0.74,
2.350,4720,39.0,57.0,8.2,75.36,13.50,4.03,110.1,100.0,110.0,22.8,0,0,0,0,0,0,0,0,75.28,47.0,1,0,1,0,0,0,0,0,0,0,30,0.77,
2.400,4066,39.0,57.0,8.2,79.43,13.50,4.25,110.1,100.0,110.0,21.3,0,0,0,0,0,0,0,0,65.75,47.0,1,0,1,0,0,0,0,0,0,0,29,0.77,
2.450,3740,39.0,57.0,8.3,82.25,13.50,4.51,110.1,100.0,110.0,20.6,0,0,0,0,0,0,0,0,57.41,47.0,1,0,1,0,0,0,0,0,0,0,30,0.86,
2.500,3583,39.0,57.0,8.8,84.60,13.50,4.65,110.1,100.0,110.0,20.3,0,0,0,0,0,0,0,0,54.01,47.0,1,0,1,0,0,0,0,0,0,0,30,0.86,
2.550,3164,39.0,57.0,10.2,89.42,13.50,4.69,110.1,100.0,110.0,19.8,0,0,0,0,0,0,0,0,47.86,47.0,1,0,1,0,0,0,0,0,0,0,29,0.78,
2.600,2755,39.0,57.0,12.9,94.32,13.50,4.69,110.1,100.0,110.0,18.9,0,0,0,0,0,0,0,0,39.27,47.0,1,0,1,0,0,0,0,0,0,0,29,0.72,
2.650,2746,39.0,57.0,15.0,97.49,13.50,4.75,110.1,100.0,110.0,18.9,0,0,0,0,0,0,0,0,37.58,47.0,1,0,1,0,0,0,0,0,0,0,29,0.72,
2.700,2660,39.0,57.0,16.6,99.42,13.50,4.81,110.1,100.0,110.0,18.8,0,0,0,0,0,0,0,0,34.57,47.0,1,0,1,0,0,0,0,0,0,0,29,0.73,
